date,X,Y,Z,DB,a,pos
2016-07-30 14:38:57:356,8.465898,0.392649,-6.042965,45.49349,0.598795712033,-0.186276789676
2016-07-30 14:38:57:855,8.590396,0.584185,-5.803545,42.72928,0.573511454131,0.135937766088
2016-07-30 14:38:58:355,8.331822,1.005565,-5.497087,42.33158,0.222366834126,0.423376875129
2016-07-30 14:38:58:856,8.178593,0.785298,-5.535394,42.88625,0.0968997745858,0.659061959059
2016-07-30 14:38:59:355,8.264784,0.545878,-6.062118,43.92717,0.454205376134,0.83214433103
2016-07-30 14:38:59:855,8.18817,0.603339,-5.573701,43.58815,0.113521992479,0.938839178933
2016-07-30 14:39:00:355,8.686164,0.440533,-5.985504,43.83243,0.747924630011,0.98242057097
2016-07-30 14:39:00:856,8.197747,0.526724,-5.707777,42.3734,0.192960178363,0.97231276181
2016-07-30 14:39:01:355,7.671023,1.149217,-5.24809,44.56085,-0.444758827039,0.922440884007
2016-07-30 14:39:01:856,8.983046,0.727837,-6.119579,45.51573,1.08376469701,0.849104177981
2016-07-30 14:39:02:356,8.360553,0.067038,-5.688623,43.14783,0.302555176383,0.768692730317
2016-07-30 14:39:02:855,8.025364,0.440533,-5.449203,43.76212,-0.0994722083816,0.695576639081
2016-07-30 14:39:03:356,8.628704,0.833182,-5.334281,41.99768,0.36856958279,0.640454953763
2016-07-30 14:39:03:855,8.676588,0.411803,-5.841852,46.10735,0.658046418624,0.60936871862
2016-07-30 14:39:04:356,7.872135,0.248997,-5.621585,43.96378,-0.133496143934,0.603472303547
2016-07-30 14:39:04:856,8.810662,0.871489,-5.841852,45.16635,0.79728489036,0.619538056822
2016-07-30 14:39:05:355,8.437168,0.526724,-5.449203,44.02127,0.247686382444,0.65106007433
2016-07-30 14:39:05:856,8.082825,0.23942,-5.832275,45.59526,0.160196266506,0.689740204706
2016-07-30 14:39:06:355,8.494628,0.603339,-5.650316,44.4585,0.410019261585,0.727095089636
2016-07-30 14:39:06:860,8.149863,0.306458,-5.45878,43.03469,0.00389130329723,0.755922263417
2016-07-30 14:39:07:355,8.84897,0.469264,-6.167464,45.31192,0.986392497214,0.77140408984
2016-07-30 14:39:07:856,7.987057,0.6608,-5.602432,44.92037,-0.0316064470756,0.771701968637
2016-07-30 14:39:08:355,8.303091,0.6608,-5.793968,44.4592,0.33633145424,0.757986215873
2016-07-30 14:39:08:855,8.360553,0.871489,-6.253655,44.37371,0.666952820451,0.73394319584
2016-07-30 14:39:09:355,8.034941,0.6608,-5.66947,45.49759,0.0459537130803,0.70488475735
2016-07-30 14:39:09:856,7.757214,0.565032,-5.544971,43.59506,-0.258019388961,0.676642741104
2016-07-30 14:39:10:355,8.734048,1.091756,-6.579266,45.77048,1.17918862922,0.654455096821
2016-07-30 14:39:10:856,8.207323,0.794875,-5.995081,45.60637,0.384752242625,0.642037838365
2016-07-30 14:39:11:356,7.833828,0.670377,-5.631162,44.3974,-0.138999435118,0.640992669965
2016-07-30 14:39:11:855,8.331822,0.497994,-6.186617,47.55194,0.579489196703,0.650632836134
2016-07-30 14:39:12:355,8.590396,0.526724,-6.129156,46.08739,0.755930857304,0.668232204618
2016-07-30 14:39:12:856,7.766791,0.507571,-5.257667,43.73748,-0.4172510392,0.689628543917
2016-07-30 14:39:13:356,8.485052,0.258574,-5.918466,42.84952,0.538488186655,0.710053909592
2016-07-30 14:39:13:856,8.561666,0.804452,-6.253655,44.76909,0.822848563526,0.725032178911
2016-07-30 14:39:14:356,7.671023,0.354342,-5.621585,44.74102,-0.293048280478,0.731180485674
2016-07-30 14:39:14:855,8.446744,0.440533,-5.765238,43.85128,0.426186922984,0.726776711389
2016-07-30 14:39:15:355,8.39886,0.699107,-5.784391,43.63558,0.411975305093,0.712003466734
2016-07-30 14:39:15:855,8.418014,0.641646,-5.947197,43.21906,0.516849541381,0.688840625717
2016-07-30 14:39:16:356,7.929596,-0.057461,-5.449203,42.78537,-0.188378108398,0.660642039507
2016-07-30 14:39:16:855,8.523358,0.603339,-5.803545,45.17464,0.519219917889,0.631486318003
