date,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),SOUND LEVEL (dB)
2016-07-30 14:38:57:356,8.465898,0.392649,-6.042965,45.49349
2016-07-30 14:38:57:855,8.590396,0.584185,-5.803545,42.72928
2016-07-30 14:38:58:355,8.331822,1.005565,-5.497087,42.33158
2016-07-30 14:38:58:856,8.178593,0.785298,-5.535394,42.88625
2016-07-30 14:38:59:355,8.264784,0.545878,-6.062118,43.92717
2016-07-30 14:38:59:855,8.18817,0.603339,-5.573701,43.58815
2016-07-30 14:39:00:355,8.686164,0.440533,-5.985504,43.83243
2016-07-30 14:39:00:856,8.197747,0.526724,-5.707777,42.3734
2016-07-30 14:39:01:355,7.671023,1.149217,-5.24809,44.56085
2016-07-30 14:39:01:856,8.983046,0.727837,-6.119579,45.51573
2016-07-30 14:39:02:356,8.360553,0.067038,-5.688623,43.14783
2016-07-30 14:39:02:855,8.025364,0.440533,-5.449203,43.76212
2016-07-30 14:39:03:356,8.628704,0.833182,-5.334281,41.99768
2016-07-30 14:39:03:855,8.676588,0.411803,-5.841852,46.10735
2016-07-30 14:39:04:356,7.872135,0.248997,-5.621585,43.96378
2016-07-30 14:39:04:856,8.810662,0.871489,-5.841852,45.16635
2016-07-30 14:39:05:355,8.437168,0.526724,-5.449203,44.02127
2016-07-30 14:39:05:856,8.082825,0.23942,-5.832275,45.59526
2016-07-30 14:39:06:355,8.494628,0.603339,-5.650316,44.4585
2016-07-30 14:39:06:860,8.149863,0.306458,-5.45878,43.03469
2016-07-30 14:39:07:355,8.84897,0.469264,-6.167464,45.31192
2016-07-30 14:39:07:856,7.987057,0.6608,-5.602432,44.92037
2016-07-30 14:39:08:355,8.303091,0.6608,-5.793968,44.4592
2016-07-30 14:39:08:855,8.360553,0.871489,-6.253655,44.37371
2016-07-30 14:39:09:355,8.034941,0.6608,-5.66947,45.49759
2016-07-30 14:39:09:856,7.757214,0.565032,-5.544971,43.59506
2016-07-30 14:39:10:355,8.734048,1.091756,-6.579266,45.77048
2016-07-30 14:39:10:856,8.207323,0.794875,-5.995081,45.60637
2016-07-30 14:39:11:356,7.833828,0.670377,-5.631162,44.3974
2016-07-30 14:39:11:855,8.331822,0.497994,-6.186617,47.55194
2016-07-30 14:39:12:355,8.590396,0.526724,-6.129156,46.08739
2016-07-30 14:39:12:856,7.766791,0.507571,-5.257667,43.73748
2016-07-30 14:39:13:356,8.485052,0.258574,-5.918466,42.84952
2016-07-30 14:39:13:856,8.561666,0.804452,-6.253655,44.76909
2016-07-30 14:39:14:356,7.671023,0.354342,-5.621585,44.74102
2016-07-30 14:39:14:855,8.446744,0.440533,-5.765238,43.85128
2016-07-30 14:39:15:355,8.39886,0.699107,-5.784391,43.63558
2016-07-30 14:39:15:855,8.418014,0.641646,-5.947197,43.21906
2016-07-30 14:39:16:356,7.929596,-0.057461,-5.449203,42.78537
2016-07-30 14:39:16:855,8.523358,0.603339,-5.803545,45.17464
2016-07-30 14:39:17:356,8.657434,0.584185,-6.110002,44.30268
2016-07-30 14:39:17:856,7.469909,0.545878,-5.420472,41.58568
2016-07-30 14:39:18:355,8.714894,0.632069,-6.14831,57.20001
2016-07-30 14:39:18:860,8.245631,1.292869,-6.052541,41.94948
2016-07-30 14:39:19:355,7.603985,0.497994,-5.449203,44.20316
2016-07-30 14:39:19:856,8.762778,0.612916,-6.110002,43.46016
2016-07-30 14:39:20:356,8.226477,0.517148,-6.196194,45.06322
2016-07-30 14:39:20:856,8.015787,0.517148,-5.544971,42.6303
2016-07-30 14:39:21:355,8.858546,0.411803,-5.995081,45.66985
2016-07-30 14:39:21:856,8.015787,0.670377,-5.564124,43.79071
2016-07-30 14:39:22:356,8.532936,0.469264,-5.171476,46.12754
2016-07-30 14:39:22:855,8.360553,0.42138,-5.573701,45.97547
2016-07-30 14:39:23:355,8.255207,0.038307,-6.38773,44.26595
2016-07-30 14:39:23:855,8.101979,0.775721,-5.755661,44.5992
2016-07-30 14:39:24:356,8.130709,0.641646,-4.989516,43.42343
2016-07-30 14:39:24:855,8.839394,0.545878,-6.320692,49.76828
2016-07-30 14:39:25:355,8.350976,0.699107,-5.947197,46.06771
2016-07-30 14:39:25:856,7.747637,0.842759,-5.228936,44.54328
2016-07-30 14:39:26:355,8.734048,0.42138,-5.755661,46.02175
2016-07-30 14:39:26:855,8.044518,0.507571,-6.272808,45.83527
2016-07-30 14:39:27:355,8.274361,0.363919,-5.449203,43.67316
2016-07-30 14:39:27:856,8.39886,0.545878,-5.707777,46.05889
2016-07-30 14:39:28:356,8.063671,0.526724,-5.947197,44.45235
